file	avg_base_quality
09_03_24_SBAUG29_R2__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.2
09_03_24_SBSEP01_R2__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.3
09_10_24_ENCSEP02_R2__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	37.3
09_10_24_ENCSEP04_R2__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	37.5
09_10_24_PLSEP01_R1__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	37.5
09_10_24_PLSEP02_R1__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	37.5
09_10_24_PLSEP03_R2__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	37.4
09_10_24_SBSEP03_R1__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	37.5
09_10_24_SBSEP05_R2__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	38.2
09_10_24_SBSEP08_R1__E0000000__X00__240912_SG_WW__001.trimmed.sorted.bam	37.4
09_16_24_ENCSEP010_R2__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.5
09_16_24_ENCSEP09_R2__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.4
09_16_24_ENCSEP13_R1__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.5
09_16_24_PLSEP08_R2__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.6
09_16_24_PLSEP10_R1__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.5
09_16_24_PLSEP11_R1__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.5
09_16_24_SBSEP10_R1__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.4
09_16_24_SBSEP12_R1__E0000000__X00__241003_SG_WW_1__001.trimmed.sorted.bam	37.6
09_23_24_ENCSEP18_R2__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.6
09_23_24_ENCSEP19_R2__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.6
09_23_24_PLSEP15_R1__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.7
09_23_24_PLSEP16_R2__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.8
09_23_24_PLSEP17_R1__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.7
09_23_24_PLSEP18_R2__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.7
09_23_24_SBSEP17_R2__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.6
09_23_24_SBSEP22_R2__E0000000__X00__241003_SG_WW_2__001.trimmed.sorted.bam	37.6
09_30_24_ENCSEP23_R1__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.4
09_30_24_ENCSEP24_R2__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.4
09_30_24_ENCSEP27_R1__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.5
09_30_24_PLSEP22_R1__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.5
09_30_24_PLSEP23_R2__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.6
09_30_24_PLSEP25_R1__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.6
09_30_24_SBSEP24_R2__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.5
09_30_24_SBSEP26_R2__E0000000__X00__241003_SG_WW_4__001.trimmed.sorted.bam	37.5
10.04.23.ENCOCT02.R2__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	21.9
10.04.23.ENCSEP27.R2__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	22.0
10.04.23.PLOCT01.R1__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	22.1
10.04.23.PLOCT02.R1__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	21.9
10.04.23.SBOCT01.R1__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	22.0
10.04.23.SBSEP28.R2__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	21.9
10.06.23.PLOCT03.R2__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	21.8
10.06.23.PLOCT04.R1__NA__NA__231006_WW__00X.trimmed.sorted.unfiltered.bam	21.8
10_07_24_ENCOCT01_R1__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.4
10_07_24_ENCOCT02_R2__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.6
10_07_24_PLOCT02_R1__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.5
10_07_24_PLSEP29_R1__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.6
10_07_24_PLSEP29_R2__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.4
10_07_24_PLSEP30_R2__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.5
10_07_24_SBOCT01_R1__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.5
10_07_24_SBOCT03_R2__E0000000__X00__241018_SG_WW__001.trimmed.sorted.bam	37.6
10.11.23.ENCOCT05.R2.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.4
10.11.23.ENCOCT09.R2.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.5
10.11.23.PLOCT08.R1.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.5
10.11.23.PLOCT09.R2.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.5
10.11.23.SBOCT05.R1.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.4
10.11.23.SBOCT08.R1.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.6
10.13.23.PLOCT10.R2.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.6
10.13.23.PLOCT11.R2.rerun__NA__NA__231023_WW__00X.trimmed.sorted.unfiltered.bam	22.5
10.18.23.ENCOCT13.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	23.0
10.18.23.ENCOCT16.R1__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.18.23.PLOCT15.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.18.23.PLOCT16.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.18.23.SBOCT15.R1__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.18.23.SBOCT17.R1__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.20.23.PLOCT17.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.20.23.PLOCT18.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.8
10_21_24_ENCOCT14_R2__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.1
10_21_24_ENCOCT14_R2__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.3
10_21_24_ENCOCT14_R2__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.5
10_21_24_ENCOCT14_R2__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT14_R2_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT14_R2_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT14_R2_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT14_R2_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.4
10_21_24_ENCOCT16_R1__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.1
10_21_24_ENCOCT16_R1__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.3
10_21_24_ENCOCT16_R1__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.5
10_21_24_ENCOCT16_R1__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT16_R1_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT16_R1_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT16_R1_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_ENCOCT16_R1_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.4
10_21_24_PLOCT13_R1__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.1
10_21_24_PLOCT13_R1__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.3
10_21_24_PLOCT13_R1__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT13_R1__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT13_R1_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT13_R1_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT13_R1_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT13_R1_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.4
10_21_24_PLOCT14_R1__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.0
10_21_24_PLOCT14_R1__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.3
10_21_24_PLOCT14_R1__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.5
10_21_24_PLOCT14_R1__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT14_R1_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT14_R1_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT14_R1_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
10_21_24_PLOCT14_R1_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.4
10_21_24_PLOCT15_R2__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.2
10_21_24_PLOCT15_R2__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.5
10_21_24_PLOCT15_R2__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.8
10_21_24_PLOCT15_R2__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.9
10_21_24_PLOCT15_R2_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.9
10_21_24_PLOCT15_R2_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.8
10_21_24_PLOCT15_R2_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	38.0
10_21_24_PLOCT15_R2_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_PLOCT16_R1__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.2
10_21_24_PLOCT16_R1__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.4
10_21_24_PLOCT16_R1__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.7
10_21_24_PLOCT16_R1__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.8
10_21_24_PLOCT16_R1_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.8
10_21_24_PLOCT16_R1_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
10_21_24_PLOCT16_R1_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
10_21_24_PLOCT16_R1_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
10_21_24_SBOCT17_R2__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.0
10_21_24_SBOCT17_R2__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.2
10_21_24_SBOCT17_R2__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.5
10_21_24_SBOCT17_R2__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
10_21_24_SBOCT17_R2_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
10_21_24_SBOCT17_R2_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
10_21_24_SBOCT17_R2_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
10_21_24_SBOCT17_R2_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.3
10_21_24_SBOCT20_R1__E0000000__X00__241024_SG_WW__001.trimmed.sorted.bam	37.1
10_21_24_SBOCT20_R1__E0000000__X00__241024_SG_WW_combined__001.trimmed.sorted.bam	37.3
10_21_24_SBOCT20_R1__E0000000__X00__241101_SG_WW_2__001.trimmed.sorted.bam	37.6
10_21_24_SBOCT20_R1__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_SBOCT20_R1_L001__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_SBOCT20_R1_L002__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_SBOCT20_R1_L003__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
10_21_24_SBOCT20_R1_L004__E0000000__X00__241101_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
10.25.23.ENCOCT19.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.25.23.ENCOCT20.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	23.0
10.25.23.PLOCT22.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.9
10.25.23.PLOCT23.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	22.8
10.25.23.SBOCT19.R1__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	23.0
10.25.23.SBOCT24.R1__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	23.0
10.27.23.PLOCT24.R2__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	23.0
10.27.23.PLOCT25.R1__NA__NA__231027_WW__00X.trimmed.sorted.unfiltered.bam	23.0
10_28_24_ENCOCT21_R2__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.2
10_28_24_PLOCT20_R1__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.4
10_28_24_PLOCT21_R2__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.1
10_28_24_PLOCT22_R1__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.1
10_28_24_PLOCT23_R2__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.4
10_28_24_SBOCT22_R2__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.3
10_28_24_SBOCT24_R2__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.2
10_28_24_SBOCT27_R2__E0000000__X00__241101_SG_WW_3__001.trimmed.sorted.bam	37.1
1.04.23.ENCDEC30.R1__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.2
1.04.23.ENCJAN04.R1__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.2
1.05.23.PLJAN01.R1__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.0
1.05.23.PLJAN02.R1__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.1
1.05.23.PLJAN03.R1__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.1
1.05.23.PLJAN04.R1__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.4
1.05.23.SBDEC30.R1__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.2
1.05.23.SBJAN03.R2__NA__NA__230107_WW__00X.trimmed.sorted.unfiltered.bam	22.1
11.01.23.ENCOCT26.R2__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
11.01.23.ENCOCT27.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
11.01.23.PLOCT29.R2__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
11.01.23.PLOCT30.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	22.0
11.01.23.SBOCT26.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	22.0
11.01.23.SBOCT31.R2__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
1.10.23.ENCJAN05.R2__NA__NA__230112_WW__00X.trimmed.sorted.unfiltered.bam	23.1
1.10.23.ENCJAN06.R1__NA__NA__230112_WW__00X.trimmed.sorted.unfiltered.bam	23.1
1.10.23.ENCJAN09.R2__NA__NA__230112_WW__00X.trimmed.sorted.unfiltered.bam	23.2
11.03.23.PLNOV01.R2__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
11.03.23.PLOCT31.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.8
11_04_24_ENCNOV01_R2_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.5
11_04_24_ENCNOV01_R2__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.3
11_04_24_ENCNOV01_R2_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.6
11_04_24_ENCOCT29_R1_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.5
11_04_24_ENCOCT29_R1__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.3
11_04_24_ENCOCT29_R1_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.7
11_04_24_ENCOCT30_R2_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.5
11_04_24_ENCOCT30_R2__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.2
11_04_24_ENCOCT30_R2_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.7
11_04_24_PLOCT27_R1_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.6
11_04_24_PLOCT27_R1__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.2
11_04_24_PLOCT27_R1_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.8
11_04_24_PLOCT28_R2_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.6
11_04_24_PLOCT28_R2__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.3
11_04_24_PLOCT28_R2_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.7
11_04_24_PLOCT29_R2_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.4
11_04_24_PLOCT29_R2__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.2
11_04_24_PLOCT29_R2_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.7
11_04_24_SBOCT29_R1_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.6
11_04_24_SBOCT29_R1__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.4
11_04_24_SBOCT29_R1_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.8
11_04_24_SBOCT31_R1_combined__E0000000__X00__241107_SG_WW_combined__001.trimmed.sorted.bam	37.5
11_04_24_SBOCT31_R1__E0000000__X00__241107_SG_WW_3__001.trimmed.sorted.bam	37.2
11_04_24_SBOCT31_R1_Z__E0000000__X00__241107_SG_WW_4__001.trimmed.sorted.bam	37.7
11.08.23.ENCNOV06.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
11.08.23.ENCNOV07.R2__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.8
11.08.23.PLNOV05.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
11.08.23.PLNOV06.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	22.0
11.08.23.SBNOV02.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	21.9
11.08.23.SBNOV05.R1__NA__NA__231109_WW__00X.trimmed.sorted.unfiltered.bam	22.0
11_12_24_ENCNOV05_R2__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.7
11_12_24_ENCNOV06_R1__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.5
11_12_24_ENCNOV08_R1__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.6
11_12_24_PLNOV03_R2__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.8
11_12_24_PLNOV05_R1__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.7
11_12_24_PLNOV06_R1__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.6
11_12_24_SBNOV07_R2__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.6
11_12_24_SBNOV10_R1__E0000000__X00__241115_SG_WW__001.trimmed.sorted.bam	37.6
11.13.23.PLNOV07.R2__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	23.0
11.13.23.PLNOV08.R2__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	22.9
11.15.23.ENCNOV09.R1__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	23.0
11.15.23.ENCNOV14.R2__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	23.0
11.15.23.PLNOV12.R1__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	22.9
11.15.23.PLNOV13.R2__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	22.9
11.17.23.PLNOV14.R1__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	22.9
11.17.23.PLNOV15.R1__NA__NA__231117_WW__00X.trimmed.sorted.unfiltered.bam	22.8
11_18_24_ENCNOV12_R2__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_ENCNOV12_R2__E0000000__X00__241125_SG_WW_combined__001.trimmed.sorted.bam	37.7
11_18_24_ENCNOV12_R2_L001__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_ENCNOV12_R2_L002__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.7
11_18_24_ENCNOV12_R2_L002__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_ENCNOV12_R2_L003__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.6
11_18_24_ENCNOV12_R2_L003__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_ENCNOV12_R2_L004__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.4
11_18_24_ENCNOV12_R2_L004__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
11_18_24_ENCNOV14_R2__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
11_18_24_ENCNOV14_R2__E0000000__X00__241125_SG_WW_combined__001.trimmed.sorted.bam	37.6
11_18_24_ENCNOV14_R2_L001__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
11_18_24_ENCNOV14_R2_L002__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.6
11_18_24_ENCNOV14_R2_L002__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
11_18_24_ENCNOV14_R2_L003__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.5
11_18_24_ENCNOV14_R2_L003__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
11_18_24_ENCNOV14_R2_L004__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.4
11_18_24_ENCNOV14_R2_L004__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.3
11_18_24_PLNOV10_R1__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV10_R1__E0000000__X00__241125_SG_WW_combined__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV10_R1_L001__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV10_R1_L002__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV10_R1_L002__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.6
11_18_24_PLNOV10_R1_L003__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.6
11_18_24_PLNOV10_R1_L003__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV10_R1_L004__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.4
11_18_24_PLNOV10_R1_L004__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
11_18_24_PLNOV11_R2__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV11_R2__E0000000__X00__241125_SG_WW_combined__001.trimmed.sorted.bam	37.6
11_18_24_PLNOV11_R2_L001__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV11_R2_L002__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV11_R2_L002__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV11_R2_L003__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.6
11_18_24_PLNOV11_R2_L003__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV11_R2_L004__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.4
11_18_24_PLNOV11_R2_L004__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.5
11_18_24_PLNOV12_R1__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV12_R1__E0000000__X00__241125_SG_WW_combined__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV12_R1_L001__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV12_R1_L002__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.8
11_18_24_PLNOV12_R1_L002__E0000000__X00__241125_SG_WW_2_separate__001.trimmed.sorted.bam	37.7
11_18_24_PLNOV12_R1_L003__E0000000__X00__241125_SG_WW_1_separate__001.trimmed.sorted.bam	37.6
