file	avg_base_quality
02.26.24.PLFEB19.R1__NA__NA__240301_WW__00X.trimmed.sorted.unfiltered.bam	23.6
02.26.24.PLFEB20.R2__NA__NA__240301_WW__00X.trimmed.sorted.unfiltered.bam	23.6
02.26.24.PLFEB21.R1__NA__NA__240301_WW__00X.trimmed.sorted.unfiltered.bam	23.5
02.26.24.SBFEB20.R1__NA__NA__240301_WW__00X.trimmed.sorted.unfiltered.bam	23.6
02.26.24.SBFEB25.R2__NA__NA__240301_WW__00X.trimmed.sorted.unfiltered.bam	23.6
03_04_24_ENCFEB29_sub_R2__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.7
03_04_24_ENCMAR01_sub_R2__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.7
03_04_24_PLFEB25_sub_R1__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.7
03_04_24_PLFEB26_sub_R1__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.8
03_04_24_PLFEB27_sub_R1__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.8
03_04_24_PLFEB28_sub_R2__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.7
03_04_24_SBFEB27_sub_R2__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.7
03_04_24_SBFEB29_sub_R2__E0000000__X00__240314_WW_75__008.trimmed.sorted.bam	39.7
03_11_24_ENCMAR04_R2__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.1
03_11_24_ENCMAR08_R2__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.1
03_11_24_PLMAR03_R2__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.1
03_11_24_PLMAR04_R2__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.2
03_11_24_PLMAR05_R1__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.1
03_11_24_PLMAR06_R2__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.1
03_11_24_SBMAR07_R1__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.1
03_11_24_SBMAR10_R1__E0000000__X00__240318_NextSeq_WW__001.trimmed.sorted.bam	33.1
03_18_24_ENCMAR13_R1__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.8
03_18_24_ENCMAR15_R1__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_18_24_PLMAR10_R1__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_18_24_PLMAR11_R2__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_18_24_PLMAR12_R2__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.6
03_18_24_PLMAR13_R2__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_18_24_SBMAR12_R2__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.6
03_18_24_SBMAR17_R2__E0000000__X00__240323_NextSeq_WW__001.trimmed.sorted.bam	32.6
03_25_24_ENCMAR19_R2__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.8
03_25_24_ENCMAR20_R1__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.8
03_25_24_PLMAR17_R2__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_25_24_PLMAR18_R1__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_25_24_PLMAR19_R2__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_25_24_PLMAR20_R2__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.7
03_25_24_SBMAR19_R2__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.8
03_25_24_SBMAR24_R1__E0000000__X00__240401_NextSeq_WW__001.trimmed.sorted.bam	32.8
04_01_24_ENCMAR27_R1__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.9
04_01_24_ENCMAR29_R2__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.8
04_02_24_PLMAR24_R2__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.9
04_02_24_PLMAR25_R1__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.8
04_02_24_PLMAR26_R2__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.9
04_02_24_PLMAR27_R1__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.8
04_02_24_SBMAR28_R1__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.8
04_02_24_SBMAR31_R1__E0000000__X00__240409_NextSeq_WW__001.trimmed.sorted.bam	32.9
04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.1
04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.1
04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.0
04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.1
04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.1
04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.1
04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.1
04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.trimmed.sorted.bam	33.1
04_22_24_ENCAPR16_R1__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.5
04_22_24_ENCAPR18_R1__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.5
04_22_24_PLAPR14_R2__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.4
04_22_24_PLAPR15_R1__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.5
04_22_24_PLAPR16_R1__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.4
04_22_24_PLAPR17_R2__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.5
04_22_24_SBAPR16_R1__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.5
04_22_24_SBAPR18_R1__E0000000__X00__240429_NextSeq_WW__001.trimmed.sorted.bam	32.4
04_29_24_ENCAPR25_R2__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.6
04_29_24_ENCAPR26_R2__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.6
04_29_24_PLAPR21_R1__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.6
04_29_24_PLAPR22_R1__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.7
04_29_24_PLAPR23_R1__E0000000__X00__240509_NextSeq_WW__001.trimmed.sorted.bam	32.7
